saleid|I|C|S|T|Q|P
39055|7284|12983|19|73|27|supercheap 
70275|7186|4578|58|14|33|cheap
78117|8768|5246|54|79|13|supercheap 
63851|7530|15710|6|55|47|supercheap 
71601|9492|18395|95|73|48|cheap
45936|8829|17162|24|73|31|supercheap 
16464|12628|11742|15|19|42|supercheap 
57517|10026|13709|80|84|12|supercheap 
75088|9552|5243|14|79|15|outrageous
79813|11874|8397|79|28|41|expensive
93726|8316|625|66|73|36|supercheap 
71536|6996|19739|68|95|16|supercheap 
3598|10951|6169|17|70|9|supercheap 
8805|11502|14837|90|73|14|supercheap 
82506|11450|25|33|93|17|supercheap 
72791|10958|4973|36|16|24|supercheap 
19469|12355|12305|61|73|6|supercheap 
76918|11586|5936|76|99|9|supercheap 
82169|10279|19444|31|73|32|supercheap 
2319|9795|19809|28|48|46|supercheap 
65023|7343|3614|98|73|15|supercheap 
50070|13975|2504|12|73|5|supercheap 
58233|1874|10702|42|73|29|supercheap 
87789|10947|5746|15|93|34|expensive
11451|9399|10171|21|29|45|expensive
92639|3910|13259|58|16|23|supercheap 
3499|11104|5696|83|96|26|outrageous
92940|13947|18145|38|29|35|supercheap 
40231|8456|19445|72|73|27|expensive
90750|8988|5318|65|79|17|cheap
89505|8103|3910|49|30|15|supercheap 
50411|11101|5746|57|70|17|moderate
63741|7379|5676|4|48|2|supercheap 
49320|12223|8397|96|95|41|moderate
10938|11866|6435|84|1|36|supercheap 
7703|11551|19360|18|73|13|supercheap 
2197|9772|9768|98|31|4|expensive
51950|11875|2470|45|73|16|supercheap 
38607|9371|8397|89|73|3|cheap
29713|9022|5595|82|27|12|moderate
98055|10630|8397|41|73|30|supercheap 
78743|10283|18400|81|16|28|supercheap 
43895|10657|5746|11|73|43|cheap
7358|7724|8397|47|73|5|supercheap 
14184|17276|6507|60|1|47|cheap
31750|9596|2557|2|50|37|supercheap 
50469|10146|14422|5|73|33|supercheap 
68279|10964|663|44|73|43|supercheap 
41074|13908|10987|49|73|5|supercheap 
24832|10011|12434|93|73|4|supercheap 
51100|8092|466|75|73|49|supercheap 
48791|11577|15297|76|70|30|supercheap 
12390|9017|11724|61|73|40|cheap
59319|8197|9474|85|73|19|outrageous
61072|9720|13766|64|79|6|cheap
86686|8933|5746|89|73|5|supercheap 
52967|11123|14150|79|73|1|cheap
23808|11363|4973|61|95|20|cheap
22291|6735|17325|74|73|16|cheap
19286|13241|4922|11|23|32|supercheap 
95892|8569|8537|30|73|45|expensive
65928|11058|8397|33|73|6|moderate
20587|12698|8397|14|42|43|supercheap 
58541|8123|5746|1|72|48|supercheap 
7001|9476|2826|9|82|15|supercheap 
60795|12649|8397|35|24|19|supercheap 
43022|9112|7163|42|73|36|supercheap 
6727|5300|8397|90|97|38|moderate
33311|8056|2663|47|73|7|cheap
14219|7335|10702|2|73|49|supercheap 
38028|8752|65|28|73|41|supercheap 
78957|17558|8397|71|73|28|supercheap 
48177|8423|16851|58|73|28|supercheap 
9991|10441|17669|36|73|5|supercheap 
98472|12371|3562|29|73|2|cheap
59693|19945|5890|50|73|33|supercheap 
1017|14739|8397|89|73|12|expensive
80579|13781|8397|65|73|17|supercheap 
39026|11429|8397|85|73|8|supercheap 
47340|10026|2877|71|73|29|moderate
50146|10500|9041|35|73|35|cheap
54637|8553|2920|27|16|10|supercheap 
9363|8112|8835|60|73|3|supercheap 
77948|10115|8397|29|73|48|supercheap 
89682|9289|16868|85|63|35|expensive
16407|9756|11419|64|73|32|cheap
75070|6887|9811|1|73|20|supercheap 
3608|8444|15818|81|73|39|supercheap 
29075|4499|8397|28|69|49|cheap
81616|8894|16715|27|17|33|supercheap 
28711|13680|2481|63|56|33|supercheap 
96925|8802|4973|12|73|47|supercheap 
75550|9563|8397|20|97|6|cheap
68472|6691|5696|93|73|3|supercheap 
34962|8174|9982|9|73|11|moderate
40571|6078|13072|43|66|11|supercheap 
28941|11522|19305|94|73|44|cheap
72366|11837|8397|22|73|16|supercheap 
3925|9336|5696|14|73|41|supercheap 
5546|12988|9991|35|50|23|supercheap 
49267|7437|16868|91|31|5|moderate
77683|8845|16589|64|73|10|supercheap 
48959|9511|8397|71|73|38|cheap
64169|10673|4973|38|73|34|supercheap 
42690|10382|19719|63|92|32|cheap
48927|13014|12401|62|73|38|supercheap 
83766|11964|14142|20|95|47|supercheap 
62325|12866|5746|11|73|15|cheap
1279|9399|19644|90|67|7|expensive
73294|6884|11673|31|32|13|supercheap 
75375|13303|9218|51|16|25|moderate
60348|9820|17206|37|73|4|cheap
20478|12743|2852|25|1|21|outrageous
29388|9654|8397|97|80|6|cheap
79049|12368|4288|58|73|47|supercheap 
5349|11058|8397|43|73|49|outrageous
76432|10372|2481|56|73|6|supercheap 
70177|11852|15671|90|73|14|cheap
94792|8494|2084|93|73|32|supercheap 
57689|9416|5361|82|73|42|supercheap 
50020|9890|8397|90|73|21|supercheap 
15633|6368|8397|19|73|31|supercheap 
25303|8733|4034|13|73|19|supercheap 
18007|9032|8397|3|23|33|cheap
40885|10821|5696|75|47|20|moderate
94450|7718|8397|12|73|18|supercheap 
67194|11607|16868|25|73|40|supercheap 
87644|11566|553|28|94|32|expensive
80497|8224|14190|95|43|48|outrageous
1530|11337|18299|91|52|26|expensive
87492|6287|5746|39|29|10|supercheap 
65832|7631|6385|39|73|2|supercheap 
40967|11214|8397|45|73|5|supercheap 
69056|15750|8397|43|73|32|expensive
31398|5051|8397|61|92|24|supercheap 
17513|9231|1552|36|46|7|supercheap 
4426|9170|5746|5|63|11|moderate
85125|9064|15871|21|37|21|supercheap 
16702|12626|8397|67|85|34|supercheap 
69207|9788|4106|62|69|41|cheap
81977|13044|8397|94|97|22|expensive
47073|8172|14032|15|73|44|outrageous
93239|11301|12073|44|88|29|supercheap 
63276|7081|9289|46|95|13|supercheap 
61635|11626|6602|8|73|1|supercheap 
27657|11898|8397|65|73|40|supercheap 
81481|13310|17162|65|73|19|supercheap 
15583|9358|8397|19|73|6|outrageous
73388|10565|4973|1|73|9|cheap
43626|9469|6714|60|73|9|supercheap 
12021|6429|3333|5|73|11|expensive
60571|8520|8397|100|73|34|supercheap 
29561|8193|5099|95|73|3|supercheap 
97170|9120|18432|97|95|36|supercheap 
72230|8360|17989|2|48|44|supercheap 
35256|8345|16868|12|73|15|cheap
39868|6741|3769|48|73|27|supercheap 
70012|11183|3081|21|73|2|supercheap 
16224|9639|17162|35|85|10|cheap
32910|13729|6680|65|73|47|supercheap 
50483|8486|8397|28|93|46|moderate
24307|9959|16719|94|73|7|supercheap 
61504|7718|8397|76|41|45|supercheap 
20738|9380|9768|93|81|35|supercheap 
34493|7271|5696|69|73|2|supercheap 
28267|8013|11061|97|73|39|supercheap 
10445|19135|8397|88|73|43|expensive
65847|11122|8777|16|73|39|supercheap 
20253|11404|8397|13|41|14|supercheap 
1360|4337|8397|75|9|35|supercheap 
15711|11303|12755|72|79|11|supercheap 
60236|13333|8397|10|73|49|supercheap 
95102|9288|10688|60|73|41|supercheap 
91375|8049|5746|26|2|35|supercheap 
28848|9412|7704|87|73|40|supercheap 
68417|7105|5746|98|73|8|supercheap 
72633|9696|11485|97|73|13|supercheap 
90082|11172|3777|65|57|47|outrageous
80699|11734|8397|17|73|1|cheap
15807|8785|3523|34|61|43|supercheap 
49223|10952|16946|18|13|14|outrageous
21007|10252|4578|17|73|37|supercheap 
34118|9109|5590|2|73|23|expensive
66609|9206|16027|55|73|37|moderate
29481|9567|18586|78|73|26|supercheap 
33319|7147|19083|72|95|15|supercheap 
71496|10682|5746|8|48|27|supercheap 
95567|9149|7013|62|73|30|supercheap 
66266|11738|10971|90|8|9|expensive
3125|11255|9526|24|73|11|supercheap 
65136|12173|7809|28|48|4|supercheap 
55282|8560|3868|1|70|15|cheap
48593|6446|10601|97|73|32|supercheap 
21086|6574|13067|24|73|7|moderate
89465|7033|17878|72|73|29|cheap
16842|10671|13227|62|79|1|outrageous
50254|8374|8397|14|95|4|supercheap 
629|9494|614|44|73|25|moderate
1924|6295|16868|29|73|24|supercheap 
26809|13922|10185|17|73|3|moderate
43061|8915|8397|37|69|50|supercheap 
35279|8642|6202|89|43|44|supercheap 
37369|10721|8397|72|73|44|moderate
25406|10889|8397|6|73|35|outrageous
45522|11153|16765|32|73|27|supercheap 
46498|8462|797|39|73|49|supercheap 
53825|9587|5353|42|96|9|cheap
14200|11954|8397|64|73|33|supercheap 
72111|9117|12794|37|73|32|supercheap 
54475|11676|18135|57|73|1|supercheap 
94357|8340|8340|100|73|23|expensive
45446|11910|17798|97|43|42|cheap
3116|12011|15646|3|73|26|cheap
28615|13074|5806|96|73|15|moderate
52434|7334|14381|32|73|34|supercheap 
49209|11197|4288|27|36|14|moderate
36846|11763|8397|80|95|6|expensive
95664|7752|16868|60|95|12|moderate
79764|8147|5746|63|82|28|cheap
65447|13892|8397|22|73|8|cheap
96850|10403|19850|42|73|27|moderate
92911|11253|19801|52|73|50|moderate
61678|13602|16719|80|16|46|cheap
35160|9532|16868|36|33|41|supercheap 
84641|6646|8397|52|73|42|supercheap 
46525|9088|8397|80|50|27|expensive
78266|10138|1641|17|73|2|supercheap 
48311|12747|8397|8|73|4|cheap
98135|7366|16509|75|55|8|supercheap 
65580|11414|8397|77|13|35|supercheap 
7095|9698|5746|74|73|12|supercheap 
93425|11492|3160|26|73|26|supercheap 
12179|8866|8397|58|73|28|supercheap 
5378|12069|14167|13|16|33|moderate
88467|11546|2568|71|95|35|supercheap 
1847|8803|8397|80|73|40|expensive
38491|8180|16868|74|65|4|outrageous
60579|10844|17942|57|73|37|outrageous
25386|11550|5746|97|73|9|supercheap 
47488|11675|13278|31|37|15|supercheap 
59577|9217|8397|56|73|40|cheap
92674|7691|8397|54|61|48|cheap
99360|10092|9144|87|48|41|cheap
84194|11019|8397|57|3|3|supercheap 
8700|10633|8397|64|16|49|supercheap 
79336|8229|19519|24|73|1|supercheap 
35607|13970|4578|18|73|48|supercheap 
45116|10140|17880|81|73|19|supercheap 
96632|9718|3211|45|73|8|supercheap 
5616|9471|2745|98|85|30|supercheap 
17717|9145|8397|82|73|46|outrageous
56266|11764|2707|91|73|32|cheap
72578|11197|8826|30|92|43|supercheap 
95248|8132|19512|25|73|43|supercheap 
40294|11036|17600|7|92|44|supercheap 
79228|11452|16532|79|11|42|expensive
78244|9909|2246|41|73|38|supercheap 
75669|9780|8397|13|73|36|moderate
27404|11517|8397|58|95|4|cheap
47750|8232|668|79|60|6|supercheap 
82564|13165|8397|37|95|15|supercheap 
73582|11045|5696|54|87|11|expensive
41592|8483|16675|49|93|38|supercheap 
82037|7626|8397|94|16|32|supercheap 
73785|11031|14362|50|92|45|cheap
78844|10269|8397|31|15|9|moderate
96211|11142|15075|73|16|49|cheap
82095|7395|16719|39|54|30|expensive
94481|11281|10500|28|70|33|cheap
85823|10582|11359|1|73|28|expensive
20064|10926|19305|13|73|5|supercheap 
3874|6591|16868|49|36|30|outrageous
24516|10763|8397|68|79|9|moderate
84205|9332|19183|8|73|24|supercheap 
99171|7957|3655|78|73|28|supercheap 
94017|10247|8397|94|73|47|cheap
28123|11402|1093|22|61|42|cheap
6753|10632|5676|23|70|47|supercheap 
86559|10905|19928|43|41|39|expensive
63873|10954|16868|12|73|1|supercheap 
57081|7801|1530|46|92|13|outrageous
61744|10138|8397|10|63|6|supercheap 
98044|10457|8397|72|73|32|cheap
97804|8711|19614|80|16|6|expensive
63973|9473|2490|60|29|37|moderate
80274|8595|15553|69|40|10|outrageous
81437|6351|9991|28|73|14|cheap
85408|13873|9967|72|95|15|moderate
73752|9200|8621|26|92|39|supercheap 
3583|9274|388|88|73|23|supercheap 
79351|11739|9991|27|73|32|expensive
24682|11616|8397|55|73|49|supercheap 
27359|10685|8397|86|92|50|supercheap 
77247|13531|8397|62|8|13|expensive
77316|9290|8492|69|92|29|supercheap 
90849|11502|13870|14|31|49|cheap
2696|9867|13801|43|31|27|expensive
5057|11678|8397|25|73|4|supercheap 
40632|11984|8397|48|35|33|supercheap 
74474|9791|8397|71|16|28|supercheap 
18952|8184|16719|22|100|3|supercheap 
63075|10857|17517|15|73|46|supercheap 
1244|6384|8397|39|73|44|supercheap 
65173|10010|9121|10|73|31|cheap
20819|9154|596|17|93|38|moderate
2795|12413|13562|62|73|7|outrageous
70623|7585|16282|66|61|15|cheap
24201|8416|6707|75|73|9|supercheap 
24522|10901|17605|33|73|13|supercheap 
98507|7538|1887|23|73|36|cheap
12397|11911|5696|25|73|29|moderate
26837|13074|8397|78|73|27|moderate
31695|11527|8397|92|42|10|supercheap 
85282|9701|4449|31|73|49|supercheap 
22569|8659|14329|15|60|19|outrageous
14254|8451|17880|57|73|2|supercheap 
33648|13288|10897|89|85|35|cheap
48194|12249|8397|66|84|22|moderate
70209|11373|5746|99|73|18|supercheap 
68758|13527|8397|62|73|41|expensive
90379|13354|10540|3|73|5|expensive
94700|13500|9244|13|73|35|outrageous
43981|8697|8397|35|73|30|supercheap 
34292|7130|10312|69|73|18|moderate
60803|13453|17430|83|73|10|supercheap 
72575|6933|12465|49|73|1|supercheap 
44316|8829|5696|35|28|8|supercheap 
31879|6270|7341|54|46|30|supercheap 
84854|13338|2733|93|1|40|supercheap 
15391|8485|10398|37|73|29|cheap
85670|8243|8397|64|95|4|supercheap 
48810|10760|8397|84|73|27|cheap
71143|11696|108|85|73|36|supercheap 
41835|8482|11419|77|73|7|outrageous
67259|11692|11828|94|95|16|supercheap 
51840|6260|5196|28|94|9|supercheap 
44412|13797|12351|30|73|39|supercheap 
42177|9210|5746|92|73|28|cheap
25640|11751|8397|50|38|3|supercheap 
68741|10005|18335|91|73|42|supercheap 
40378|9944|12709|14|73|46|supercheap 
71539|10553|19559|48|73|46|supercheap 
89992|12832|15426|38|95|27|moderate
84076|9568|10381|7|73|16|supercheap 
89455|11506|6397|80|57|9|supercheap 
58628|9435|8362|22|73|49|cheap
55080|17514|8522|88|78|13|cheap
35605|11488|17176|91|95|12|supercheap 
10945|12086|5696|68|88|39|cheap
92528|9508|8397|79|2|3|supercheap 
95855|8490|8802|75|57|24|supercheap 
15562|10914|5195|7|13|24|supercheap 
89321|18026|19523|84|73|23|supercheap 
21394|8811|8397|8|73|15|supercheap 
67579|11360|7475|91|73|29|cheap
35443|11579|7472|41|26|49|expensive
67841|11537|8397|51|61|31|supercheap 
47821|12702|15183|51|73|44|supercheap 
36048|6200|13929|50|73|45|outrageous
40662|8415|4302|18|73|33|supercheap 
28100|13719|19236|14|23|10|supercheap 
59455|12664|13381|94|97|12|supercheap 
93960|8847|3296|50|16|23|supercheap 
16510|12106|14609|70|75|24|moderate
57961|11603|17176|74|73|2|supercheap 
10370|8460|12113|16|73|13|supercheap 
95426|7292|8397|41|73|7|cheap
89694|8510|14405|3|8|30|moderate
14203|8426|16946|61|73|17|supercheap 
21197|13062|8397|38|73|1|supercheap 
69651|8220|5936|33|97|21|supercheap 
91796|11511|2043|80|16|30|outrageous
66769|6886|2895|44|73|34|supercheap 
84805|7567|230|36|1|38|supercheap 
95001|11598|5534|100|19|4|supercheap 
87191|11609|15149|99|61|5|supercheap 
15809|6101|5212|29|73|8|supercheap 
19741|5698|8397|38|73|14|moderate
7383|10678|39|99|73|9|moderate
83558|11915|16802|13|96|14|supercheap 
95255|9319|17376|91|73|40|outrageous
53490|7867|2481|4|73|6|supercheap 
29617|10933|5746|51|73|50|supercheap 
80205|10539|10548|2|95|2|supercheap 
74755|10963|15124|40|73|30|supercheap 
11666|8324|7222|79|73|47|supercheap 
30300|7452|17957|36|16|8|supercheap 
8537|11765|8397|85|73|4|supercheap 
41024|8513|5696|97|73|8|supercheap 
2562|6086|13331|17|73|37|supercheap 
31469|13171|5056|40|73|7|cheap
42053|13995|19916|16|73|19|supercheap 
71561|6922|2481|45|73|14|supercheap 
1906|6555|9867|99|10|40|moderate
44664|10202|7100|17|73|5|supercheap 
41903|7854|16350|67|73|49|supercheap 
28147|11600|5746|80|73|10|supercheap 
85359|10971|7489|49|73|17|supercheap 
8812|10645|3880|40|73|10|supercheap 
87822|10029|1833|59|73|34|supercheap 
45382|11507|8397|25|73|12|cheap
14069|8482|18415|44|32|44|cheap
27772|11358|4973|91|2|23|supercheap 
15770|9107|8397|11|73|5|cheap
97721|11595|8397|3|10|33|expensive
84940|11267|3778|23|16|20|moderate
17876|11967|5746|44|73|29|supercheap 
32651|11827|6731|52|73|40|cheap
56780|11130|1069|56|35|47|supercheap 
95831|9337|4113|16|95|30|supercheap 
62408|8896|206|76|73|9|cheap
65135|8972|17421|98|73|46|cheap
90203|10926|7590|89|61|18|outrageous
22060|10742|5746|90|4|11|supercheap 
49812|13627|12870|30|19|38|supercheap 
74307|11150|4354|49|59|38|supercheap 
15897|9653|5912|68|73|37|supercheap 
99124|9643|11940|49|73|49|supercheap 
75852|15657|8397|71|73|50|cheap
64796|11705|1561|96|73|31|moderate
43916|6980|17940|83|73|5|expensive
5157|10782|8397|74|73|9|supercheap 
75774|9271|8397|30|92|15|expensive
2160|8592|13118|74|95|24|expensive
13789|13600|11419|80|19|7|supercheap 
41549|9253|5696|92|73|47|supercheap 
8391|3176|8397|3|70|40|moderate
95225|10676|5746|30|73|31|supercheap 
94813|13902|8397|44|73|46|supercheap 
11442|11942|5246|43|73|45|supercheap 
97734|9772|15715|11|16|18|supercheap 
57192|8494|7572|83|98|38|supercheap 
64667|10976|6202|26|73|31|supercheap 
71774|10907|13317|76|76|45|supercheap 
73078|9044|8397|21|48|8|supercheap 
3257|9442|16633|20|73|26|cheap
57658|8555|3822|96|73|44|supercheap 
14556|10978|4288|5|73|31|supercheap 
90886|8354|18262|24|73|13|supercheap 
53844|11248|6169|95|65|25|supercheap 
44108|11642|5291|8|50|3|moderate
94840|10856|7190|96|95|36|supercheap 
40719|6628|16687|98|73|3|supercheap 
93191|6884|13016|6|73|35|cheap
66513|13076|8397|21|53|6|supercheap 
90793|9656|8397|8|63|37|cheap
14467|6722|388|18|73|8|supercheap 
12632|9061|16973|80|95|27|supercheap 
7996|12337|230|33|73|15|supercheap 
28660|11275|8397|92|16|4|supercheap 
83938|6272|3444|57|27|17|cheap
29228|8334|8939|32|60|25|supercheap 
22245|11661|15676|35|73|50|outrageous
72686|12857|8397|81|95|7|cheap
82899|10763|5746|9|73|50|outrageous
40475|8916|8397|59|73|46|supercheap 
25355|11785|4505|30|82|16|supercheap 
39078|11443|5746|10|73|27|expensive
48226|8387|6286|95|73|49|moderate
88276|11441|16719|53|73|14|supercheap 
82348|7147|3412|65|73|18|supercheap 
8015|6398|2766|95|73|36|cheap
20899|6029|8397|11|4|40|cheap
6248|11681|16594|63|73|50|outrageous
51867|9954|7969|21|73|22|cheap
5165|10233|18925|24|73|47|cheap
60153|11552|8109|18|73|42|supercheap 
18052|9280|5310|12|47|26|cheap
25447|3080|8397|89|34|24|expensive
91077|11254|7072|63|90|50|supercheap 
77269|9766|11919|37|96|35|supercheap 
67652|9764|7562|29|88|12|supercheap 
66713|6496|2144|30|92|40|supercheap 
855|6016|14782|75|95|36|supercheap 
61831|9789|3197|2|50|2|cheap
98959|8919|2467|1|73|45|expensive
63682|9760|5806|77|92|31|expensive
36193|13799|12131|22|73|25|supercheap 
5505|6926|11821|56|73|8|cheap
5513|14587|15486|47|79|5|supercheap 
88765|2941|10702|4|74|11|expensive
88737|10172|8397|16|82|4|expensive
67599|6844|8397|7|92|40|moderate
10025|11551|18630|64|73|36|cheap
3182|11884|14222|69|73|9|supercheap 
10487|6002|16868|25|73|36|supercheap 
12371|6296|2918|12|73|13|cheap
51129|11295|4889|18|22|25|supercheap 
44542|8942|5746|16|73|42|expensive
57837|7111|8397|5|34|40|moderate
5588|8098|13365|81|73|1|supercheap 
72729|10533|8397|16|70|45|supercheap 
96657|6243|8397|51|73|28|cheap
58773|10772|2354|11|73|22|supercheap 
97053|11601|5361|8|73|43|supercheap 
48305|8177|13155|42|73|30|supercheap 
32998|8736|8397|36|73|15|expensive
75587|8534|5746|100|68|31|supercheap 
3580|11319|10756|78|73|24|supercheap 
45002|12510|10455|80|53|30|cheap
41542|12057|7066|28|79|30|cheap
40185|13691|8397|43|73|9|supercheap 
96711|9216|8397|36|73|32|cheap
8923|11690|14643|53|73|33|cheap
52828|8831|328|10|73|30|moderate
19724|13810|319|45|98|46|cheap
49839|9492|8397|100|16|27|cheap
9060|11908|14837|48|73|12|cheap
99400|13202|2227|66|64|38|supercheap 
7637|9558|17880|82|92|38|supercheap 
77169|9885|19841|5|73|35|supercheap 
88565|10784|11245|23|12|26|supercheap 
8256|8369|4123|85|22|27|moderate
9917|9611|3109|13|73|39|supercheap 
1135|9994|16614|80|6|22|supercheap 
52461|17895|10414|36|48|23|expensive
80461|10599|8397|29|48|38|supercheap 
49057|6995|8397|1|73|31|supercheap 
79941|10036|10471|48|73|11|cheap
46451|12260|1889|50|73|17|supercheap 
95006|10350|11984|56|73|41|supercheap 
43460|7201|4473|19|73|22|supercheap 
27719|10894|1679|2|73|47|cheap
36281|14919|2193|2|55|19|supercheap 
53244|12413|5912|38|5|16|supercheap 
85911|9566|3752|56|73|14|supercheap 
71245|9542|16802|90|73|28|supercheap 
38937|13762|5696|12|43|26|outrageous
84867|8075|14393|72|22|48|supercheap 
76345|12131|16719|19|73|40|supercheap 
79434|11078|8397|2|73|39|outrageous
13854|4207|10593|4|32|36|supercheap 
73308|6484|12943|80|95|2|cheap
75885|10213|6169|43|92|3|cheap
63348|9838|19976|33|73|34|moderate
315|11782|5696|78|73|17|cheap
31483|11414|5284|75|79|3|supercheap 
38963|11688|1639|67|73|33|cheap
87764|10344|9477|44|1|43|supercheap 
30527|12629|17921|90|92|34|supercheap 
27623|10476|15847|21|92|14|supercheap 
71893|10632|17335|8|50|5|cheap
26377|6755|1821|47|70|11|supercheap 
6083|8628|19565|66|73|1|supercheap 
10233|8816|8397|45|73|47|supercheap 
17354|10574|17880|87|18|45|moderate
90381|10047|15489|59|16|33|supercheap 
89210|1120|5746|14|79|46|cheap
38475|11978|17669|88|73|13|supercheap 
91374|13251|18857|74|43|14|supercheap 
96425|11933|8397|55|50|48|supercheap 
28438|8926|2877|9|65|18|supercheap 
16064|8086|5746|21|100|18|supercheap 
85511|9045|19305|71|73|38|expensive
20173|10197|1959|89|73|49|outrageous
50490|15383|7333|95|48|3|moderate
62929|11964|5746|75|92|37|supercheap 
29689|10129|4123|9|95|33|supercheap 
42231|8196|18253|100|73|43|supercheap 
52570|7669|8397|4|16|45|cheap
57905|10185|5696|16|73|40|supercheap 
54300|10315|8397|37|73|17|cheap
92461|9133|8355|40|95|50|supercheap 
3761|10346|8397|96|91|31|supercheap 
89571|9101|19445|4|73|50|supercheap 
17761|11934|1398|44|1|8|supercheap 
20072|11415|8855|97|77|21|supercheap 
58357|8598|11837|39|88|11|cheap
20855|8590|8397|56|73|23|supercheap 
21872|10249|14008|30|92|42|supercheap 
22008|7032|786|29|73|47|cheap
60521|11970|15941|74|73|23|outrageous
54367|1409|9768|84|29|12|supercheap 
42796|7076|17805|20|73|40|supercheap 
48681|10507|8397|14|28|43|supercheap 
94722|11533|14837|13|92|23|supercheap 
27308|10117|7983|65|73|48|supercheap 
89191|12412|9444|6|73|46|supercheap 
27577|10423|6762|13|76|8|supercheap 
63865|12157|8397|76|14|38|supercheap 
74496|11792|10789|58|48|17|supercheap 
21319|13075|2587|14|95|3|supercheap 
6200|13310|6885|57|53|1|supercheap 
12962|9391|8397|38|73|8|supercheap 
18607|13164|1813|32|73|34|supercheap 
95568|10543|4973|35|73|16|expensive
16670|10668|8397|87|3|37|supercheap 
96302|9929|17989|45|73|36|supercheap 
18137|9741|5061|15|73|18|outrageous
60094|9668|5746|45|73|41|supercheap 
69172|9871|19842|9|73|44|moderate
49962|8008|18906|7|73|12|supercheap 
